,Location,median_income,gini_index
315,"Santa Rosa County, Florida: Summary level: 050, state:12> county:113",69748,0.4204
316,"Broomfield County, Colorado: Summary level: 050, state:08> county:014",104453,0.427
317,"New Castle County, Delaware: Summary level: 050, state:10> county:003",84859,0.4635
318,"Sussex County, Delaware: Summary level: 050, state:10> county:005",67842,0.4457
319,"Kent County, Delaware: Summary level: 050, state:10> county:001",66453,0.43
320,"Manatee County, Florida: Summary level: 050, state:12> county:081",65250,0.4666
321,"Citrus County, Florida: Summary level: 050, state:12> county:017",50551,0.4535
322,"Levy County, Florida: Summary level: 050, state:12> county:075",44692,0.4589
323,"Baker County, Florida: Summary level: 050, state:12> county:003",67455,0.4312
324,"Volusia County, Florida: Summary level: 050, state:12> county:127",55408,0.4628
325,"Leon County, Florida: Summary level: 050, state:12> county:073",72816,0.4859
326,"Broward County, Florida: Summary level: 050, state:12> county:011",65596,0.4849
327,"Madison County, Florida: Summary level: 050, state:12> county:079",41472,0.4816
328,"Monroe County, Florida: Summary level: 050, state:12> county:087",75828,0.4996
329,"Escambia County, Florida: Summary level: 050, state:12> county:033",59598,0.4387
330,"Hernando County, Florida: Summary level: 050, state:12> county:053",52558,0.422
331,"Hillsborough County, Florida: Summary level: 050, state:12> county:057",65730,0.4795
332,"Okaloosa County, Florida: Summary level: 050, state:12> county:091",71292,0.4294
333,"Taylor County, Florida: Summary level: 050, state:12> county:123",46224,0.4215
334,"Wakulla County, Florida: Summary level: 050, state:12> county:129",65911,0.3734
335,"Washington County, Florida: Summary level: 050, state:12> county:133",47753,0.4523
336,"Duval County, Florida: Summary level: 050, state:12> county:031",63082,0.471
337,"Bradford County, Florida: Summary level: 050, state:12> county:007",55999,0.4369
338,"Brevard County, Florida: Summary level: 050, state:12> county:009",63114,0.4548
339,"Clay County, Florida: Summary level: 050, state:12> county:019",71173,0.4188
340,"Lafayette County, Florida: Summary level: 050, state:12> county:067",56641,0.5248
341,"Lake County, Florida: Summary level: 050, state:12> county:069",60130,0.4249
342,"Nassau County, Florida: Summary level: 050, state:12> county:089",73314,0.4421
343,"Pinellas County, Florida: Summary level: 050, state:12> county:103",64876,0.4872
344,"Polk County, Florida: Summary level: 050, state:12> county:105",53542,0.4391
345,"St. Lucie County, Florida: Summary level: 050, state:12> county:111",55618,0.456
346,"Glades County, Florida: Summary level: 050, state:12> county:043",43206,0.4453
347,"Hendry County, Florida: Summary level: 050, state:12> county:051",44603,0.4751
348,"Indian River County, Florida: Summary level: 050, state:12> county:061",60575,0.5189
349,"Jackson County, Florida: Summary level: 050, state:12> county:063",47995,0.4397
350,"Palm Beach County, Florida: Summary level: 050, state:12> county:099",71519,0.5197
351,"St. Johns County, Florida: Summary level: 050, state:12> county:109",90682,0.47
352,"Seminole County, Florida: Summary level: 050, state:12> county:117",75048,0.4586
353,"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",52235,0.5256
354,"Bay County, Florida: Summary level: 050, state:12> county:005",61750,0.4521
355,"Flagler County, Florida: Summary level: 050, state:12> county:035",58327,0.4163
356,"Franklin County, Florida: Summary level: 050, state:12> county:037",52164,0.4979
357,"Gulf County, Florida: Summary level: 050, state:12> county:045",55866,0.4252
358,"Hamilton County, Florida: Summary level: 050, state:12> county:047",42018,0.4835
359,"Liberty County, Florida: Summary level: 050, state:12> county:077",41914,0.4552
360,"Osceola County, Florida: Summary level: 050, state:12> county:097",51905,0.4285
361,"Sumter County, Florida: Summary level: 050, state:12> county:119",65452,0.4338
362,"Walton County, Florida: Summary level: 050, state:12> county:131",62284,0.4979
363,"Gadsden County, Florida: Summary level: 050, state:12> county:039",47277,0.4418
364,"Holmes County, Florida: Summary level: 050, state:12> county:059",48609,0.4506
365,"Jefferson County, Florida: Summary level: 050, state:12> county:065",59245,0.4414
