Location,median_income
"Crawford County, Arkansas: Summary level: 050, state:05> county:033",51778
"Benton County, Arkansas: Summary level: 050, state:05> county:007",71185
"Chicot County, Arkansas: Summary level: 050, state:05> county:017",39059
"Hot Spring County, Arkansas: Summary level: 050, state:05> county:059",52086
"Johnson County, Arkansas: Summary level: 050, state:05> county:071",42948
"Lee County, Arkansas: Summary level: 050, state:05> county:077",39489
"Madison County, Arkansas: Summary level: 050, state:05> county:087",51609
"Desha County, Arkansas: Summary level: 050, state:05> county:041",38156
"Fulton County, Arkansas: Summary level: 050, state:05> county:049",42646
"Howard County, Arkansas: Summary level: 050, state:05> county:061",44650
"Garland County, Arkansas: Summary level: 050, state:05> county:051",54550
"Mississippi County, Arkansas: Summary level: 050, state:05> county:093",42085
"Pope County, Arkansas: Summary level: 050, state:05> county:115",50919
"Prairie County, Arkansas: Summary level: 050, state:05> county:117",48041
"Union County, Arkansas: Summary level: 050, state:05> county:139",51911
"Woodruff County, Arkansas: Summary level: 050, state:05> county:147",46515
"Cleburne County, Arkansas: Summary level: 050, state:05> county:023",56236
"Cleveland County, Arkansas: Summary level: 050, state:05> county:025",53049
"Jackson County, Arkansas: Summary level: 050, state:05> county:067",42281
"Hempstead County, Arkansas: Summary level: 050, state:05> county:057",48213
"Sharp County, Arkansas: Summary level: 050, state:05> county:135",40675
"Stone County, Arkansas: Summary level: 050, state:05> county:137",41709
"Washington County, Arkansas: Summary level: 050, state:05> county:143",60926
"Greene County, Arkansas: Summary level: 050, state:05> county:055",55302
"Baxter County, Arkansas: Summary level: 050, state:05> county:005",48433
"Ashley County, Arkansas: Summary level: 050, state:05> county:003",47801
"Craighead County, Arkansas: Summary level: 050, state:05> county:031",54830
"Lafayette County, Arkansas: Summary level: 050, state:05> county:073",43571
"Perry County, Arkansas: Summary level: 050, state:05> county:105",55000
"Yell County, Arkansas: Summary level: 050, state:05> county:149",45833
"Phillips County, Arkansas: Summary level: 050, state:05> county:107",34965
"Poinsett County, Arkansas: Summary level: 050, state:05> county:111",43919
"Sevier County, Arkansas: Summary level: 050, state:05> county:133",52770
"Calhoun County, Arkansas: Summary level: 050, state:05> county:013",47473
"Clark County, Arkansas: Summary level: 050, state:05> county:019",54289
"Bradley County, Arkansas: Summary level: 050, state:05> county:011",46914
"Lawrence County, Arkansas: Summary level: 050, state:05> county:075",48426
"Monroe County, Arkansas: Summary level: 050, state:05> county:095",44652
"Polk County, Arkansas: Summary level: 050, state:05> county:113",40099
"Conway County, Arkansas: Summary level: 050, state:05> county:029",51424
"Ouachita County, Arkansas: Summary level: 050, state:05> county:103",42796
"Newton County, Arkansas: Summary level: 050, state:05> county:101",47226
"Arkansas County, Arkansas: Summary level: 050, state:05> county:001",48735
"Little River County, Arkansas: Summary level: 050, state:05> county:081",51363
"Lonoke County, Arkansas: Summary level: 050, state:05> county:085",64690
"Carroll County, Arkansas: Summary level: 050, state:05> county:015",51474
"Miller County, Arkansas: Summary level: 050, state:05> county:091",52087
"Modoc County, California: Summary level: 050, state:06> county:049",51000
